ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
3,3,Mine,9,159,4.70,121.12,92.58
3,3,Mine,10,187,5.20,138.08,106.26
3,3,Mine,11,220,5.10,163.26,123.27
3,3,Mine,12,252,5.00,156.50,117.64
3,3,Mine,13,279,4.80,75.53,75.00
3,3,Mine,14,311,5.30,170.65,129.51
3,3,Mine,15,346,5.30,166.45,127.51
3,3,Mine,16,387,5.30,185.71,161.69
3,3,Mine,17,430,5.20,180.57,141.00
3,3,Mine,18,471,5.20,178.15,160.65
3,3,MQTT,1,1,0.00,154.15,161.72
3,3,MQTT,2,1,2.40,34.38,88.82
3,3,MQTT,3,1,9.40,525.68,310.41
3,3,MQTT,4,1,9.80,693.17,385.20
3,3,MQTT,5,1,8.20,475.22,313.63
3,3,MQTT,6,1,6.00,389.63,194.81
3,3,MQTT,7,1,5.30,318.09,205.37
3,3,MQTT,8,1,6.00,319.28,190.80
3,3,MQTT,9,1,7.00,321.54,210.20
3,3,MQTT,10,1,6.70,432.68,241.68
3,3,MQTT,11,1,5.50,321.85,195.03
3,3,MQTT,12,1,7.10,446.22,263.72
3,3,MQTT,13,1,9.40,531.67,323.21
3,3,MQTT,14,1,7.40,428.79,257.66
3,3,MQTT,15,1,9.20,590.11,362.48
3,3,MQTT,16,1,9.10,591.95,331.76
3,3,MQTT,17,1,7.00,430.99,253.75
3,3,MQTT,18,1,6.30,377.57,246.24
3,3,MQTT,19,1,8.20,541.79,294.73
3,3,MQTT,20,1,4.70,310.05,187.56
3,3,MQTT,21,1,7.20,427.17,251.89
3,3,MQTT,22,1,7.40,534.06,313.53
3,3,MQTT,23,1,8.20,533.42,316.03
3,3,MQTT,24,1,8.00,584.25,344.41
3,3,MQTT,25,1,7.70,429.09,251.34
3,3,MQTT,26,1,5.30,320.10,218.82
3,3,MQTT,27,1,5.50,266.68,141.97
3,3,MQTT,28,1,9.90,586.49,350.17
3,3,MQTT,29,1,7.00,426.52,260.12
