ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
3,2,Mine,23,161,0.0,1.89,44.51
3,2,Mine,24,161,0.0,0.95,0.0
3,2,Mine,25,161,0.0,0.0,0.94
3,2,Mine,26,161,0.0,0.0,0.0
3,2,Mine,27,161,0.0,0.0,0.0
3,2,Mine,28,161,0.0,10.41,22.71
1,2,MQTT,1,1,0.0,20.2,22.12
1,2,MQTT,2,1,0.2,0.0,0.0
1,2,MQTT,3,1,3.3,137.12,83.42
1,2,MQTT,4,1,3.0,108.3,71.88
1,2,MQTT,5,1,1.0,40.21,22.98
1,2,MQTT,6,1,3.5,147.93,93.18
1,2,MQTT,7,1,3.5,159.01,101.53
1,2,MQTT,8,1,3.4,186.69,117.76
1,2,MQTT,9,1,0.7,34.6,25.95
1,2,MQTT,10,1,1.2,48.87,38.33
1,2,MQTT,11,1,0.0,0.0,0.0
1,2,MQTT,12,1,0.0,0.96,0.96
1,2,MQTT,13,1,0.0,7.68,8.64
1,2,MQTT,14,1,0.0,0.0,0.0
1,2,MQTT,15,1,0.0,0.0,0.0
1,2,MQTT,16,1,0.0,0.0,0.96
1,2,MQTT,17,1,0.0,0.96,0.96
1,2,MQTT,18,1,0.0,0.0,0.0
1,2,MQTT,19,1,0.0,0.0,0.0
1,2,MQTT,20,1,0.0,0.0,0.0
1,2,MQTT,21,1,0.0,0.0,0.96
1,2,MQTT,22,1,0.0,0.96,0.0
1,2,MQTT,23,1,0.0,0.0,0.96
1,2,MQTT,24,1,0.0,0.0,0.0
1,2,MQTT,25,1,0.0,0.0,0.0
1,2,MQTT,26,1,0.0,0.0,0.0
1,2,MQTT,27,1,0.0,0.0,0.0
1,2,MQTT,28,1,0.0,0.96,0.96
1,2,MQTT,29,1,0.0,0.0,0.0
2,2,MQTT,1,1,0.0,20.13,21.09
2,2,MQTT,2,1,0.3,5.75,0.96
2,2,MQTT,3,1,3.5,136.73,89.55
2,2,MQTT,4,1,3.3,142.26,88.79
2,2,MQTT,5,1,3.5,138.4,88.07
2,2,MQTT,6,1,3.3,135.63,83.1
2,2,MQTT,7,1,3.5,157.93,109.11
2,2,MQTT,8,1,3.5,151.81,103.77
2,2,MQTT,9,1,0.0,0.0,0.0
2,2,MQTT,10,1,0.0,7.64,7.64
